task_id,tier,group_key,run_index,total_runs,seed,market,symbol,provider,status,error,auc,brier,coverage,signal_flip_rate,net_return,max_drawdown
core_symbol_BTCUSDT_001,core_symbol,core_symbol::BTCUSDT,1,50,42,crypto,BTCUSDT,binance,success,,0.5509955748889843,,,,,
core_symbol_BTCUSDT_002,core_symbol,core_symbol::BTCUSDT,2,50,59,crypto,BTCUSDT,binance,success,,0.5388624605409299,,,,,
core_symbol_BTCUSDT_003,core_symbol,core_symbol::BTCUSDT,3,50,76,crypto,BTCUSDT,binance,failed,FileNotFoundError: [Errno 2] No such file or directory: 'experiments\\stability_training\\run_20260210_191456\\runs\\core_symbol_BTCUSDT_003\\logs\\src_models_train.log',,,,,,
core_symbol_BTCUSDT_004,core_symbol,core_symbol::BTCUSDT,4,50,93,crypto,BTCUSDT,binance,success,,0.547745065923401,,,,,
core_symbol_BTCUSDT_005,core_symbol,core_symbol::BTCUSDT,5,50,110,crypto,BTCUSDT,binance,success,,0.5600499106706224,,,,,
core_symbol_BTCUSDT_006,core_symbol,core_symbol::BTCUSDT,6,50,127,crypto,BTCUSDT,binance,success,,0.5296112559502746,,,,,
core_symbol_BTCUSDT_007,core_symbol,core_symbol::BTCUSDT,7,50,144,crypto,BTCUSDT,binance,success,,0.5316370115710917,,,,,
core_symbol_BTCUSDT_008,core_symbol,core_symbol::BTCUSDT,8,50,161,crypto,BTCUSDT,binance,success,,0.5146850126601475,,,,,
core_symbol_BTCUSDT_009,core_symbol,core_symbol::BTCUSDT,9,50,178,crypto,BTCUSDT,binance,success,,0.5090726845960738,,,,,
core_symbol_BTCUSDT_010,core_symbol,core_symbol::BTCUSDT,10,50,195,crypto,BTCUSDT,binance,success,,0.5496935046094414,,,,,
core_symbol_BTCUSDT_011,core_symbol,core_symbol::BTCUSDT,11,50,212,crypto,BTCUSDT,binance,success,,0.5451129205314711,,,,,
core_symbol_BTCUSDT_012,core_symbol,core_symbol::BTCUSDT,12,50,229,crypto,BTCUSDT,binance,success,,0.5332009728861272,,,,,
core_symbol_BTCUSDT_013,core_symbol,core_symbol::BTCUSDT,13,50,246,crypto,BTCUSDT,binance,success,,0.5207588144739123,,,,,
core_symbol_BTCUSDT_014,core_symbol,core_symbol::BTCUSDT,14,50,263,crypto,BTCUSDT,binance,success,,0.5309759078927339,,,,,
core_symbol_BTCUSDT_015,core_symbol,core_symbol::BTCUSDT,15,50,280,crypto,BTCUSDT,binance,success,,0.5299044465587257,,,,,
core_symbol_BTCUSDT_016,core_symbol,core_symbol::BTCUSDT,16,50,297,crypto,BTCUSDT,binance,failed,FileNotFoundError: [Errno 2] No such file or directory: 'experiments\\stability_training\\run_20260210_191456\\runs\\core_symbol_BTCUSDT_016\\logs\\src_models_train.log',,,,,,
core_symbol_BTCUSDT_017,core_symbol,core_symbol::BTCUSDT,17,50,314,crypto,BTCUSDT,binance,success,,0.5155755174081618,,,,,
core_symbol_BTCUSDT_018,core_symbol,core_symbol::BTCUSDT,18,50,331,crypto,BTCUSDT,binance,success,,0.5429151365911942,,,,,
core_symbol_BTCUSDT_019,core_symbol,core_symbol::BTCUSDT,19,50,348,crypto,BTCUSDT,binance,success,,0.5430396153254581,,,,,
core_symbol_BTCUSDT_020,core_symbol,core_symbol::BTCUSDT,20,50,365,crypto,BTCUSDT,binance,success,,0.5347421898447204,,,,,
core_symbol_BTCUSDT_021,core_symbol,core_symbol::BTCUSDT,21,50,382,crypto,BTCUSDT,binance,success,,0.5456396242094371,,,,,
core_symbol_BTCUSDT_022,core_symbol,core_symbol::BTCUSDT,22,50,399,crypto,BTCUSDT,binance,success,,0.5272282153337771,,,,,
